,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
267,120,525,0.00120063,1.4711919101040144e-09,2.8192232973127374e-06,351226.0,0.0005218429882820363
268,130,525,0.00130429,1.988965549116673e-09,8.363430008668878e-06,119030.99999999997,0.00023781696589259034
269,140,525,0.00140918,2.6598654760033854e-09,2.34315483231327e-05,42585.99999999997,0.00011351641979960173
270,150,525,0.0015153,3.5220076584883608e-09,6.22458995024296e-05,16049.0,5.658216342991218e-05
271,160,525,0.00162266,4.6216677052150775e-09,0.000156570142273125,6383.999999999998,2.9518193176020245e-05
272,170,525,0.00173131,6.0153072272069455e-09,0.00036784560343979997,2717.9999999999964,1.6352804467299784e-05
273,180,525,0.00184138,2.032820402334047e-07,0.000829420035821025,1201.0000000000005,0.0002450893774614212
274,190,525,0.00195347,2.543993168264832e-07,0.0016364041313361752,610.0000000000015,0.0001554624019549243
275,200,525,0.00206836,3.169254784191167e-07,0.002587190400941175,385.99999999999886,0.00012249793378323634
276,210,525,0.00218606,3.931302586180211e-07,0.00302040187248405,331.00000000000136,0.0001301582621171869
277,220,525,0.00230572,4.84970315700176e-07,0.00280379166441885,355.9999999999999,0.00017296945484738686
278,230,525,0.00242671,5.94572451999377e-07,0.0024682983538725,403.9999999999998,0.00024088354273159703
279,240,525,0.00254909,7.24843633739465e-07,0.00224708490923115,443.0000000000008,0.00032257064731366713
280,250,525,0.0026731,8.793549840457493e-07,0.002114839290341025,470.0000000000002,0.00041580227304361756
281,260,525,0.00279888,1.062159923737084e-06,0.00202299716037285,489.99999999999864,0.0005250427160962114
282,270,525,0.00292654,1.277916044649571e-06,0.0019455171961260751,507.9999999999993,0.0006568515802348931
283,280,525,0.00305606,1.531739831009334e-06,0.001871740690306875,526.9999999999989,0.0008183504472289923
284,290,525,0.00318732,1.8291818862406996e-06,0.001798368676073475,545.9999999999984,0.0010171339784645836
285,300,525,0.00332018,2.1763416358414143e-06,0.0017245102964261998,566.9999999999985,0.001262005591008398
286,50,550,0.00051196,1.1792506636621716e-10,6.889048458247418e-10,inf,
287,60,550,0.00060917,1.810910872000273e-10,4.259867417973793e-09,inf,
288,70,550,0.00070788,2.7176564371647503e-10,2.175951891846657e-08,inf,
289,80,550,0.00080798,3.9926757088532685e-10,9.583410982656786e-08,inf,
290,90,550,0.00090941,5.754457146442931e-10,3.74556319434572e-07,inf,
291,100,550,0.00101211,8.151581716990414e-10,1.3262723471382185e-06,745289.9999999995,0.0006146235148896527
292,110,550,0.00111607,1.137031798796912e-09,4.320929911260468e-06,230281.00000000006,0.0002631451613769005
293,120,550,0.00122128,1.564164499464503e-09,1.3026134352752685e-05,76594.00000000003,0.00012007894722304652
294,130,550,0.00132769,2.1247709639289173e-09,3.724413259424503e-05,26820.999999999993,5.704981740552704e-05
295,140,550,0.00143534,2.853871311487062e-09,9.9700573725975e-05,10024.999999999996,2.8624422155592295e-05
296,150,550,0.00154424,1.0607804018242263e-07,0.000249754926515175,3971.999999999998,0.000424728519523227
297,160,550,0.00165461,1.364795050562931e-07,0.00057316104184965,1737.0,0.000238117204574581
298,170,550,0.00176714,1.74188054487506e-07,0.00124813895559525,800.0,0.0001395582228297922
299,180,550,0.00188243,2.209509779310493e-07,0.002166806900173875,461.0000000000017,0.00010197077455924621
300,190,550,0.00200062,2.7874018309449515e-07,0.002769080749319475,361.00000000000034,0.000100661630457327
301,200,550,0.00212105,3.4942203823829223e-07,0.002671160957133825,374.0000000000008,0.00013081279782302022
302,210,550,0.00224292,4.3484854818979407e-07,0.002336199582721275,427.0000000000008,0.00018613501663383977
303,220,550,0.00236612,5.374465754198581e-07,0.00209660069247765,475.0000000000007,0.0002563418858670378
304,230,550,0.00249089,6.603020585369726e-07,0.001955041537304325,509.0000000000015,0.00033774323764364553
305,240,550,0.0026174,8.069755442156891e-07,0.0018606669440881499,534.0,0.0004337023059283512
306,250,550,0.00274577,9.815646184610833e-07,0.0017839842722540248,555.0000000000003,0.0005502092331906592
307,260,550,0.00287592,1.1884922225475686e-06,0.00171303098897685,576.9999999999994,0.0006937949343563393
